"ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP"
4820,POST,END,1511116650866159135
4821,POST,BEGIN,1511116651621182363
4821,POST,END,1511116651644963512
4822,POST,BEGIN,1511116652399969078
4822,POST,END,1511116652417499944
4823,POST,BEGIN,1511116653170987835
4823,POST,END,1511116653187420713
4824,POST,BEGIN,1511116653941389548
4824,POST,END,1511116653957636776
4825,POST,BEGIN,1511116654711168580
4825,POST,END,1511116654728280034
4826,POST,BEGIN,1511116655481909880
4826,POST,END,1511116655497039257
4827,POST,BEGIN,1511116656252133614
4827,POST,END,1511116656271892182
4828,POST,BEGIN,1511116657025196102
4828,POST,END,1511116657042046400
4829,POST,BEGIN,1511116657795554778
4829,POST,END,1511116657809721106
4830,POST,BEGIN,1511116658563311732
4830,POST,END,1511116658580152140
4831,POST,BEGIN,1511116659333861725
4831,POST,END,1511116659348465758
4832,POST,BEGIN,1511116660103167096
4832,POST,END,1511116660121746059
4833,POST,BEGIN,1511116660876909920
4833,POST,END,1511116660895067275
4834,POST,BEGIN,1511116661648360490
4834,POST,END,1511116661663956193
4835,POST,BEGIN,1511116662417843041
4835,POST,END,1511116662436266141
4836,POST,BEGIN,1511116663190164912
4836,POST,END,1511116663208114571
4837,POST,BEGIN,1511116663962056468
4837,POST,END,1511116663983647376
4838,POST,BEGIN,1511116664738722135
4838,POST,END,1511116664755062137
4839,POST,BEGIN,1511116665508697159
4839,POST,END,1511116665524886840
4840,POST,BEGIN,1511116666278389939
4840,POST,END,1511116666294629025
4841,POST,BEGIN,1511116667047914792
4841,POST,END,1511116667063886198
4842,POST,BEGIN,1511116667817610518
4842,POST,END,1511116667833099866
4843,POST,BEGIN,1511116668588225760
4843,POST,END,1511116668606799464
4844,POST,BEGIN,1511116669361354451
4844,POST,END,1511116669378283816
4845,POST,BEGIN,1511116670131711878
4845,POST,END,1511116670147565631
4846,POST,BEGIN,1511116670901536432
4846,POST,END,1511116670918745541
4847,POST,BEGIN,1511116671674446254
4847,POST,END,1511116671704581823
4848,POST,BEGIN,1511116672459214430
4848,POST,END,1511116672478698302
4849,POST,BEGIN,1511116673241165187
4849,POST,END,1511116673257202972
4850,POST,BEGIN,1511116674010126027
4850,POST,END,1511116674029187450
4851,POST,BEGIN,1511116674783024733
4851,POST,END,1511116674799798132
